INFO:root:Generation 2, Best fitness: 8, Individual: 1111101110
INFO:root:Generation 3, Best fitness: 8, Individual: 1111101110
INFO:root:Generation 4, Best fitness: 8, Individual: 1111101110
INFO:root:Generation 5, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 2, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 3, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 4, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 8, Individual: 1101101111
INFO:root:Generation 2, Best fitness: 8, Individual: 1101101111
INFO:root:Generation 3, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 4, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 5, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 6, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 7, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 8, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 9, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 10, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 11, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 12, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 13, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 14, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 15, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 16, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 17, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 18, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 19, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 20, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 21, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 22, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 23, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 24, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 25, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 26, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 27, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 28, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 29, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 30, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 31, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 32, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 33, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 34, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 35, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 36, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 8, Individual: 1011111110
INFO:root:Generation 2, Best fitness: 8, Individual: 1011111110
INFO:root:Generation 3, Best fitness: 9, Individual: 1111111110
INFO:root:Generation 4, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 6, Individual: 0110101101
INFO:root:Generation 2, Best fitness: 7, Individual: 1011110011
INFO:root:Generation 3, Best fitness: 7, Individual: 1011110011
INFO:root:Generation 4, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 5, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 6, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 7, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 4, Individual: 0000010111
INFO:root:Generation 2, Best fitness: 7, Individual: 1101101011
INFO:root:Generation 3, Best fitness: 8, Individual: 1101110111
INFO:root:Generation 4, Best fitness: 8, Individual: 1101110111
INFO:root:Generation 5, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 6, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 7, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 8, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 9, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 10, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 11, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 12, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 13, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 14, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 15, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 16, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 17, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 18, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 19, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 20, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 21, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 22, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 23, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 24, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 25, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 26, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 8, Individual: 1101101111
INFO:root:Generation 2, Best fitness: 8, Individual: 1101101111
INFO:root:Generation 3, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 4, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 5, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 6, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 7, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 8, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 9, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 10, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 11, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 12, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 13, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 14, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 15, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 16, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 17, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 18, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 19, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 20, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 21, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 22, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 23, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 24, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 25, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 26, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 27, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 28, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 29, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 30, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 31, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 32, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 33, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 34, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 35, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 36, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 37, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 38, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 39, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 40, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 41, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 42, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 43, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 44, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 45, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 46, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 47, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 48, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 49, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 50, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 51, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 52, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 53, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 54, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 55, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 56, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 57, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 58, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 59, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 60, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 61, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 62, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 63, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 64, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 65, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 66, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 67, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 68, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 7, Individual: 1110001111
INFO:root:Generation 2, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 3, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 4, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 5, Individual: 0001101110
INFO:root:Generation 2, Best fitness: 8, Individual: 1111110101
INFO:root:Generation 3, Best fitness: 8, Individual: 1111110101
INFO:root:Generation 4, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 5, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 6, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 7, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 5, Individual: 1100101010
INFO:root:Generation 2, Best fitness: 7, Individual: 1011011101
INFO:root:Generation 3, Best fitness: 8, Individual: 1011011111
INFO:root:Generation 4, Best fitness: 9, Individual: 1111111101
INFO:root:Generation 5, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 8, Individual: 1110110111
INFO:root:Generation 2, Best fitness: 8, Individual: 1110110111
INFO:root:Generation 3, Best fitness: 8, Individual: 1110110111
INFO:root:Generation 4, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 5, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 5, Individual: 1110001100
INFO:root:Generation 2, Best fitness: 6, Individual: 0110111100
INFO:root:Generation 3, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 4, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 5, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 6, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 6, Individual: 1011111000
INFO:root:Generation 2, Best fitness: 7, Individual: 1111111000
INFO:root:Generation 3, Best fitness: 8, Individual: 1011111101
INFO:root:Generation 4, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 5, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 6, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111110
INFO:root:Generation 1, Best fitness: 9, Individual: 1111111110
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 8, Individual: 1101011111
INFO:root:Generation 1, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 1, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111101
INFO:root:Generation 1, Best fitness: 9, Individual: 1111111101
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 8, Individual: 1011110111
INFO:root:Generation 1, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 2, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 3, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 8, Individual: 1011110111
INFO:root:Generation 1, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 7, Individual: 1111000111
INFO:root:Generation 1, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 2, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 3, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 1, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 2, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 3, Best fitness: 10, Individual: 1111111111
